,speech,Topic,Name,Representation,Top_n_words,Probability,Representative_document,speech_id
16,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.873107175,TRUE,1060099692
655,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.679510995,TRUE,1060099596
1045,Mr. President. I rise to offer introductory remarks on the Natural Resources Reinvestment Act. a bill that I am introducing today with my colleagues Mr. CHAFEE. Mr. LEAHY. and Mr. JEFFORDS. Before we adjourned for the summer recess. Congress spent many -weeks preoccupied with weighty fiscal matters like how to divvy up a hypothetical budget surplus. whether to grant tax cuts with money that may or may not exist. or whether to do the responsible thing and pay off the national debt with any surplus that might actually materialize. Make no mistake. these are important issues. but they are not the only issues that should cause us concern. Recent visits with citizens in Connecticut reinforced my conviction that one of the most critical. but commonly overlooked. issues facing our nation today is the conservation debt that we have amassed in recent years. This conservation debt is difficult to define because it cannot be measured in dollars and cents. It is not dependent on interest rates or stock market gyrations. It is not a debt that can be paid off by signing a check when eventually we realize that we have shortchanged our childrens environmental inheritance. This conservation debt grows as urban sprawl spreads across prime farmland and degrades wetlands. It is a debt that multiples every time a community misses a chance to acquire the watershed lands that help to purify their drinking water. It is a debt that grows irreversibly every time another endangered species is driven down the oneway road to extinction. It is a debt that increases each time an untended urban park is ceded to drugpeddlers through neglect and inattention. It is a debt that builds every time a structure representing our cultural heritage is demolished rather than renovated. It is a debt that we can no longer afford to ignore. Unfortunately. too little has been said or done recently in Washington to define the steps weas a nationshould take to pay off the conservation debt and ensure that our children and grandchildren inherit a planet that is healthy. productive. and blessed with abundant. clean. green open space. Because I am committed to preserving a rich environmental legacy for our children. today I join with Mr. CHAFEE. from Rhode Island. the esteemed Chairman of the Environment and Public Works Committee on which I serve. and Mr. LEAHY and Mr. JEFFORDS from Vermont to introduce the Natural Resources Reinvestment Act of 1999. The principle behind our bill is simple: as we deplete federallyowned. nonrenewable natural resources such as oil and gas. we should reinvest the proceeds to establish a reliable source of funding for State. local. and federal efforts to conserve land and water. provide recreational opportunities. preserve historic resources. protect fish and wildlife. and preserve open space. The Natural Resources Reinvestment Act honors this principle by reestablishing Americas longstanding commitment to protecting land. fish and wildlife. and our cultural heritage and by redoubling Federal commitments that help states and localities protect the open space and recreational opportunities that Americans cherish so deeply. Notwithstanding our current conservation debt. America has made many wise conservation investments over the years. Therefore. the Natural Resources Reinvestment Act is not spun entirely from whole cloth. but also improves upon those things we have done well. For example. the Land and Water Conservation Fund. which has served as the primary Federal source of funds for the acquisition of recreational lands since 1965. has been a tremendous success by any measure. It has helped protect more than seven million acres of open space and contributed to the development of 37.000 parks and recreation areas across the country. Everglades and Saguaro National Parks. the Appalachian Trail. the Martin Luther King. Jr.. National Historic Site. and Niagara Falls are few examples of treasured places across the country that have been created or protected with help from the Land and Water Conservation Fund. Because the Outer Continental Shelf petroleum royalty system is already in collecting billions of dollars every year. rather than introducing new taxes. this bill would simply ensure that taxes historically raised for conservation purposes actually result in conservation activity. Despite the notable successes and broad bipartisan support and authorization for $900 million dollars. Congress has failed to appropriate sufficient money for Land and Water Conservation Fund. More than $11 billion dollars of authorized conservation funding has been funneled back into the general treasury since the Fund was established. Again. this bill requires no new taxesit simply ensures that existing revenues are spent on the conservation priorities that communities across the country have identified. The stateside portion of the Land and Water Conservation Fundthe money that is supposed to help states and local communities direct their own conservation and recreation goals--has gone completely unfunded since 1995. This is particularly troubling for me because Connecticut has the smallest percentage of federallyowned land of any state in the union. The Natural Resources Reinvestment Act ensures that the Land and Water Conservation Fund will receive full authorized funding every year. The bill also builds on the success of the Fund. by authorizing a new program for State Lands of National or Regional Interest to help protect areas of unique ecological. recreational. aesthetic. or regional value that would not be eligible for traditional Land and Water Conservation Fund support. We also provide full funding for other successful programs with an existing claim on Outer Continental Shelf revenues. including the Historic Preservation Fund. and the. Urban Park and Recreation Recovery program. Every year our bill will reinvest $250 million dollars of Outer Continental Shelf petroleum revenues in State fish and wildlife conservation efforts. with special emphasis on projects that protect nongame and threatened or endangered species. The Natural Resources Reinvestment Act also creates a $900 million Environmental Stewardship Fund to be distributed to States for the purposes of conserving. protecting. and restoring their natural resources beyond what is required by current law. The Environmental Stewardship Fund is designed so that States have the flexibility to devise innovative solutions to their individual conservation challenges. This commitment to helping. but not dictating how. communities achieve their conservation goals is exceptionally important. Over the last year. the State of Connecticut has acquired 3.725 acres of open space worth more that $15 million dollars in 24 different municipalities. These open space purchases represent important steps toward the state goal of setting aside 21% of Connecticut land as open space. However. that goal is still more than 345.000 acres away from being reality. Each state has unique conservation and recreation priorities and the NRRA ensures that they will have flexible federal assistance they need to put their plans into practice. Because the NRRA would support diverse ideas and approaches to conserving and protecting the nations natural and cultural resources. each state will also benefit from the innovation and lessons learned by other states from coast to coast. Finally. the Natural Resources Reinvestment Act clarifies and improves existing laws to leverage opportunities to protect farmland and watersheds. and mitigate the extent to which transportation projects encroach on open and green space. While these improvements are made in federal laws. they affect local decisions. For example. the NRRA amends the 1996 Farm Bill so that state and local conservation organizations can help acquire easements designed to maintain productive farmland as productive farms. This provision of the NRRA gives communities a powerful tool to help make sure that family farms are not squeezed out of American communities as cities and towns grow and prosper in the 21st century. By amending the Federal Water Pollution Control Act so that up to 10% of the State Revolving Loan Fund can be used for matching grants to purchase land that protects watersheds. the NRRA recognizes that flexibility is critical for costeffective delivery of clean and healthy drinking water to American homes and businesses. This provision of the NRRA recognizes that protecting watersheds--the Earths natural water filtration and purification systemsby preserving open space can be an important and relatively inexpensive component of municipal water supply strategies. Americas - worldclass network Of roads and highways represents the foundation of our national commerce.. It also embodies many families tickets to staying in touch with friends and relatives across the country and their passports for exploring the beauty and history of our nation. The NRRA amends the Transportation Equity Act for the 21st century so that highway development funds can be used to purchase open space and green corridors that will help mitigate the effects of transportationrelated growth and development. The Natural Resources Reinvestment Act represents a strong. renewed federal commitment to protecting our natural and historical resources nationwide at local. state. and regional levels. It demonstrates our dedication to ensuring that revenues from oil and gas leasing on federal lands are reinvested in our heritage for current and future generations alike. Mr. President. I ask that the bill be printed in the RECORD. The bill follows: S. 1573 Be it enacted by the Senate and House of Representatives of the United States of America in Congress assembled.,4148,4148_interior_cara_nrra_conservation,"['interior', 'cara', 'nrra', 'conservation', 'forest', 'mop', 'humanities', 'parks', 'wildlife', 'riders']",interior - cara - nrra - conservation - forest - mop - humanities - parks - wildlife - riders,0.967150299,TRUE,1060077070
2479,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.933428863,TRUE,1060076845
4014,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.550778666,TRUE,1060108690
4221,"Madam Chairman. I yield myself such time as I may consume. Madam Chairman. I would like to take this opportunity to pay tribute to the organization frequently mentioned In. debate here but almost never discussed. the U.S. Army Corps of Engineers. It celebrates its 224th birthday this year. It is the Nations oldest. largest. and most experienced government organization in the area of water and related land engineering matters. It has provided extraordinary. competent. lifesaving. economic development enhancing service to this country for two and a quarter centuries. Little is it known that the Corps of Engineers. among its many responsibilities. had jurisdiction over Yellowstone Park. The Corps managed Yellowstone for 30 years. And Lieutenant Dan Kingman of the Corps. later to become chief of engineers. wrote: The plan of development which I have submitted Is given upon the supposition and in the earnest hope that it will be preserved as"" nearly as may be as the hand of nature left it. a source of pleasure to all who visit and a source of wealth to no one. A fewer years later. John Muir. founder of the Sierra Club. said: The best service in forest protection. almost the only efficient service. is that rendered by the military. For many years. they have guarded the great Yellowstone Park. and now they are guarding Yosemite. They found It a desert as far as underbrush. grass and flowers are concerned. But. in 2 years. the skin of the mountains is healthy again. blessings on Uncle Sams soldiers. as they have done the job well. and every pine tree is waving its arms for joy. Another great American said: ""The military engineers are taking upon their shoulders the job of making the Mississippi River over. again. a job transcended in size only by the original job of creating it."" That was Mark Twain. Those two statements together pay tribute to what the Corps of Engineers has done so admirably and the great legacy they have left for all Americans protected in floods. enhanced with river navigation programs. and protecting the great resource of the Great Lakes. one fifth of all the fresh water on the face of the Earth. And that is the -spirit in which we normally present the Water Resources Development Act. projects throughout our Nation to promote control of floods. to enhance river navigation. to protect our shores. to protect and restore the environment. to enhance navigation. And that is mostly what this bill before us does today. with one flaw. It fails to give the capital of the worlds sixth largest economy. the City of Sacramento. the flood protection it needs and deserves. This deficiency comes from a dispute between two parts of the State of California that has resulted in flood control at Sacramento being held hostage for almost a decade. The amendment made in order by the selfexecuting rule. and which is now adopted because the rule has been adopted. gives the City of Sacramento only 117 years of flood protection. and that is the estimate of the Corps of Engineers in their 1997 analysis. That is significantly less than the protection given cities of comparable size. the nearly 200 to 500 years protection for Santa Ana. Tacoma. New Orleans. St. Louis. Dallas. Kansas City. Omaha. Surely Sacramento deserves as much flood protection as those cities. Today some 400.000 residents in Sacramento face an unacceptable risk of flood. 160.000 residential structures are in the flood plain in the capital city. 5.000 businesses. 1.200 government facilities. with an estimated value of $37 billion. The 55.000acre flood plain includes seven of the nine major hospitals in the region and 130 schools. Potential losses from flood in the City of Sacramento range from 37 billion to $16 billion depending on the size of the flood. Even at the lower end of the scale. flood losses in Sacramento would be comparable to the losses experienced in the Northridge earthquake a few years ago. to date the single largest disaster in U.S. history. Now. I do not say these words and make those comments in the abstract. I have traveled several times to Sacramento. I have bicycled along the flood protection walls of the American River. I have traveled to Folsom Dam and further up river to the site once planned and once development begun on the Auburn Dam proposal by the Bureau of Reclamation. I understand what is at stake here. Linking flood protection for Sacramento and reallocation of water through a new dam at Auburn has been in the works for many. many years. But the Bureau of Reclamation already stubbed its toe to the tune of $250 million developing the base for a dam right on the fault line of a major earthquake region in the upper reaches of the American River. The Auburn Dam has already been rejected by the House in 1992 in a vote of 273140. And it was rejected in 1996 in our Committee on Transportation and Infrastructure in a vote of 28 ayes. 35 nays. There is no reason to believe the vote would be any different today. So why could we not have just simply accommodated whatever water resource needs there may be for the upper reaches of the American River. and at the same time provide Sacramento its requested 200year flood protection. and have done it in this bill? I had an amendment in committee to do that. I offered the amendment in committee to make the adjustments to Folsom. to widen the outlets so the gates can discharge more water. raise the level of the dam to allow more water to be discharged in advance of midwinter melt from the Sierra Nevada Mountains. where they get as much as 30 feet of snow and often have midwinter rains that cause not only runoff but melt. to accommodate that runoff. accommodate in a larger basin and -protect Sacramento and its residents and facilities. and also improve the levees at Sacramento to accommodate that increased runoff. The amendment was defeated on a straight partyline vote. And now we come to the floor with this legislation that does not do what Sacramento truly deserves and. as the gentleman from California said. does not really provide the water resources needs of the upper reaches of the American River Valley area. There were several arguments made about the amendment that I offered. One was that the levee strengthening proposed for Sacramento in my amendment would create unacceptable risks to areas downstream. But that objection fails on closer scrutiny. The Army Corps of Engineers analyzed that argument and rejected it. The Corps specifically stated this: ""Additional protection can be provided without adversely affecting the reaches below the mouth of the American River without project conditions."" The Corps plan includes several different structural and operational modifications to ensure that no flood threat is transferred to downstream interests. In addition. I talked with the City of Sacramento. They have committed to spend $100 million to mitigate any possible further adverse effects downstream. Finally. my. amendment specifically required that measures to increase the capacity of the levees be undertaken only after downstream mitigation features will have been constructed. So absent any objective. substantive reason for opposition to the Sacramento amendment. I am left only to surmise that the real basis for opposition was the desire by upstream interests to withhold flood protection from Sacramento in hope that the Auburn Dam at some future time could be revived or that some alternative. far more expensive yet unstudied water distribution plan be enacted. That is not the way to conduct the water resources business of the country. And while I am not prepared to accept this legislation as it is to go forward with the bill on the floor. the bill before us. I will not relent in my purpose of providing for Sacramento the protection that it rightly deserves and to address in a rational and responsible manner the wate resources requirements upstream of Sacramento in an appropriate time frame. We should not hold Sacramento hostage. We will have to come back at another time to address this issue. And I am confident that at that future time we will treat the lives and the property of the residents of Sacramento in an appropriate and responsible manner. as this committee has always done. absent these extraneous considerations.",849,849_sacramento_commerce_natural_flood,"['sacramento', 'commerce', 'natural', 'flood', 'minute', 'mineral', 'dam', 'resources', 'downstream', 'subcommittee']",sacramento - commerce - natural - flood - minute - mineral - dam - resources - downstream - subcommittee,0.734116434,TRUE,1060025298
5742,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.856927796,TRUE,1060051604
6266,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.914110954,TRUE,1060099584
6998,Object.,4476,4476_drones_drone_peeping_object,"['drones', 'drone', 'peeping', 'object', 'trampoline', 'hovered', 'spying', 'snooping', 'spy', 'scifi']",drones - drone - peeping - object - trampoline - hovered - spying - snooping - spy - scifi,1,TRUE,1060095841
7387,I object.,110,110_object_willyield_joking_momentarily,"['object', 'willyield', 'joking', 'momentarily', 'sword', 'reluctantly', 'temporarily', 'dam', 'urging', 'regret']",object - willyield - joking - momentarily - sword - reluctantly - temporarily - dam - urging - regret,0.903128324,TRUE,1060003415
